snapshot,done,rate,baseline,dp_out,rel_err
1,1000,593.8062315970927,164096.1381,174012.09590618152,0.06042773413801328
2,2000,588.9331695654265,165756.16445,170395.74360979002,0.027990386814178057
3,3000,584.3856613800673,167415.0003,175822.83211000127,0.050221496251439866
4,4000,589.2261127237521,169186.4634,179652.947272148,0.06186360103410025
5,5000,587.6170627255784,170931.92325,183807.8527421079,0.07532782201997433
6,6000,591.7390246644927,172675.38645,191491.46809072615,0.10896794284097089
7,7000,588.6014419589885,174434.04465,195054.85503744127,0.1182155148028397
8,8000,590.6865800743565,176214.89195,181754.0772730361,0.03143426336865907
9,9000,594.0091938707466,177932.50915,184576.870369669,0.0373420307025946
10,10000,593.7382117391628,179696.59455,195250.8439038702,0.08655839801984826
